verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
384160,HLK[,MT,Nehemiah,2,17,LKW,W >WMR >LHM >TM R>JM H R<H >CR >NXNW BH >CR JRWCLM XRBH W C<RJH NYTW B >C LKW W NBNH >T XWMT JRWCLM W L> NHJH <WD XRPH,LKW,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
384238,CWB[,MT,Nehemiah,2,20,>CJB,W >CJB >WTM DBR W >WMR LHM >LHJ H CMJM HW> JYLJX LNW W >NXNW <BDJW NQWM W BNJNW W LKM >JN XLQ W YDQH W ZKRWN B JRWCLM,W >CJB >WTM DBR,,no complement,no complement,,,,,,,,,hif,wayq,,,,,,,,,,,
384362,BW>[,MT,Nehemiah,3,5,HBJ>W,W <L JDM HXZJQW H TQW<JM W >DJRJHM L> HBJ>W YWRM B <BDT >DNJHM,W >DJRJHM L> HBJ>W YWRM B <BDT >DNJHM,>DJRJHM,B <BDT >DNJHM,B <BDH/ >DWN/,0,prep,,,det,subs subs,,,hif,perf,B,,,,,,,,,,
384577,JRD[,MT,Nehemiah,3,15,JWRDWT,W >T C<R H <JN HXZJQ CLWN BN KL_XZH FR PLK H MYPH HW> JBNNW W JVLLNW W J<MJDW DLTTJW MN<LJW W BRJXJW W >T XWMT BRKT H CLX L GN H MLK W <D H M<LWT H JWRDWT M <JR DWJD,H JWRDWT M <JR DWJD,,M <JR DWJD,MN <JR/ DWD==/,0,prep,pers,anim,det,subs nmpr,,,qal,ptca,M,,,,,,,,,,
384646,<LH[,MT,Nehemiah,3,19,<LT,W JXZQ <L JDW <ZR BN JCW< FR H MYPH MDH CNJT M NGD <LT H NCQ H MQY<,M NGD <LT H NCQ H MQY<,,H NCQ H MQY<,H NCQ/ H MQYW</,0,vc,,,det,subs subs,,,qal,infc,,,,,,,,,,,
384741,JY>[,MT,Nehemiah,3,25,JWY>,PLL BN >WZJ M NGD H MQYW< W H MGDL H JWY> M BJT H MLK H <LJWN >CR L XYR H MVRH >XRJW PDJH BN PR<C,H JWY> M BJT H MLK,,M BJT H MLK,MN BJT/ H MLK/,0,prep,,,det,subs subs,,,qal,ptca,M,,,,,,,,,,
384777,JY>[,MT,Nehemiah,3,26,JWY>,W H NTJNJM HJW JCBJM B <PL <D NGD C<R H MJM L MZRX W H MGDL H JWY>,H JWY>,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
384791,JY>[,MT,Nehemiah,3,27,JWY>,>XRJW HXZJQW H TQ<JM MDH CNJT M NGD H MGDL H GDWL H JWY> W <D XWMT H <PL,H JWY>,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
384956,<LH[,MT,Nehemiah,3,35,J<LH,W VWBJH H <MNJ >YLW W J>MR GM >CR HM BWNJM >M J<LH CW<L W PRY XWMT >BNJHM,>M J<LH CW<L,CW<L,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
384968,CWB[,MT,Nehemiah,3,36,HCB,CM< >LHJNW KJ HJJNW BWZH W HCB XRPTM >L R>CM W TNM L BZH B >RY CBJH,W HCB XRPTM >L R>CM,,>L R>CM,>L R>C/,0,prep,,,det,subs,,,hif,impv,>L,,,,,,,,,,
385035,<LH[,MT,Nehemiah,4,1,<LTH,W JHJ K >CR CM< SNBLV W VWBJH W H <RBJM W H <MNJM W H >CDWDJM KJ <LTH >RWKH L XMWT JRWCLM KJ HXLW H PRYJM L HSTM W JXR LHM M>D,KJ <LTH >RWKH L XMWT JRWCLM,>RWKH,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
385055,BW>[,MT,Nehemiah,4,2,BW>,W JQCRW KLM JXDW L BW> L HLXM B JRWCLM W L <FWT LW TW<H,L BW>,,no complement,no complement,,,,,,,,,qal,infc,,,,,,,,,,,
385108,BW>[,MT,Nehemiah,4,5,NBW>,W J>MRW YRJNW L> JD<W W L> JR>W <D >CR NBW> >L TWKM W HRGNWM W HCBTNW >T H ML>KH,<D >CR NBW> >L TWKM,,>L TWKM,>L TWK/,0,prep,,,det,subs,,,qal,impf,>L,,,,,,,,,,
385122,BW>[,MT,Nehemiah,4,6,B>W,W JHJ K >CR B>W H JHWDJM H JCBJM >YLM W J>MRW LNW <FR P<MJM M KL H MQMWT >CR TCWBW <LJNW,K >CR B>W H JHWDJM,H JHWDJM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
385138,CWB[,MT,Nehemiah,4,6,TCWBW,W JHJ K >CR B>W H JHWDJM H JCBJM >YLM W J>MRW LNW <FR P<MJM M KL H MQMWT >CR TCWBW <LJNW,>CR TCWBW <LJNW,,<LJNW,<L,0,prep,,,det,,,,qal,impf,<LJNW,,,,,,,,,,
385223,CWB[,MT,Nehemiah,4,9,NCWB,W JHJ K >CR CM<W >WJBJNW KJ NWD< LNW W JPR H >LHJM >T <YTM W NCWB KLNW >L H XWMH >JC >L ML>KTW,W NCWB KLNW >L H XWMH,KLNW,>L H XWMH,>L H XWMH/,0,prep,,,det,subs,,,qal,wayq,>L,,,,,,,,,,
385362,<LH[,MT,Nehemiah,4,15,<LWT,W >NXNW <FJM B ML>KH W XYJM MXZJQJM B RMXJM M <LWT H CXR <D Y>T H KWKBJM,M <LWT H CXR,H CXR,no complement,no complement,,,,,,,,,qal,infc,,,,,,,,,,,
385366,JY>[,MT,Nehemiah,4,15,Y>T,W >NXNW <FJM B ML>KH W XYJM MXZJQJM B RMXJM M <LWT H CXR <D Y>T H KWKBJM,<D Y>T H KWKBJM,H KWKBJM,no complement,no complement,,,,,,,,,qal,infc,,,,,,,,,,,
385599,HLK[,MT,Nehemiah,5,9,TLKW,W J>MR L> VWB H DBR >CR >TM <FJM H LW> B JR>T >LHJNW TLKW M XRPT H GWJM >WJBJNW,H LW> B JR>T >LHJNW TLKW M XRPT H GWJM >WJBJNW,,B JR>T >LHJNW,B JR>H/ >LHJM/,0,prep,,,det,subs subs,,,qal,impf,B,,,,,,,,,,
