verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
316642,NXT[,MT,Psalms,38,3,TNXT,KJ XYJK NXTW BJ W TNXT <LJ JDK,,qal,wayq,W TNXT <LJ JDK,JDK,<LJ,<L,,0,prep,,,det,,simple,,,<L,,,,,,,
2047516,NXT[,4Q83,Psalms,38,3,NXTW,KJ XYJK NXTW BJ W TNXT <LJ JDK,11 1111 1111 11 1 1111 111 111,nif,perf,None,None,,,,,,,,,,,,,,,,,,,,[KJ XYJK NXTW BJ W TNXT <LJ JDK]
2047519,NXT[,4Q83,Psalms,38,3,TNXT,KJ XYJK NXTW BJ W TNXT <LJ JDK,11 1111 1111 11 1 1111 111 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[KJ XYJK NXTW BJ W TNXT <LJ JDK]
316661,<BR[,MT,Psalms,38,5,<BRW,KJ <WNTJ <BRW R>CJ K MF> KBD JKBDW MMNJ,,qal,perf,KJ <WNTJ <BRW R>CJ,<WNTJ,no complement,no complement,,,,,,,,,,,,,,,,,,
316682,HLK[,MT,Psalms,38,7,HLKTJ,N<WJTJ CXTJ <D M>D KL H JWM QDR HLKTJ,,piel,perf,KL H JWM QDR HLKTJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
316829,XWC[,MT,Psalms,38,23,XWCH,XWCH L <ZRTJ >DNJ TCW<TJ,,qal,impv,XWCH L <ZRTJ,,L <ZRTJ,L <ZRH/,,0,prep,,,det,subs,simple,,,L,,,,,,,
2047688,XWC[,4Q83,Psalms,38,23,XJCH,XJCH LJ L <ZRTJ >DNJ TCW<TJ,0000 00 0 00000 0000 000000,qal,impv,None,None,,,,,,,,,,,,,,,,,,,,XJCH LJ L <ZRTJ >DNJ TCW<TJ
316908,HLK[,MT,Psalms,39,7,JTHLK,>K B YLM JTHLK >JC >K HBL JHMJWN JYBR W L> JD< MJ >SPM,,hit,impf,>K B YLM JTHLK >JC,>JC,>K B YLM,>K B YLM/,,0,prep,,,det,subs,complex,,,B,,,,,,,
316942,SWR[,MT,Psalms,39,11,HSR,HSR M <LJ NG<K M TGRT JDK >NJ KLJTJ,,hif,impv,HSR M <LJ NG<K,,M <LJ,MN <L,,0,prep + prep,,,det,,simple,,,MN,<L,,,,,,
316992,HLK[,MT,Psalms,39,14,>LK,HC< MMNJ W >BLJGH B VRM >LK W >JNNJ,,qal,impf,B VRM >LK,,no complement,no complement,,,,,,,,,,,,,,,,,,
317011,<LH[,MT,Psalms,40,3,J<LNJ,W J<LNJ M BWR C>WN M VJV H JWN W JQM <L SL< RGLJ KWNN >CRJ,,hif,wayq,W J<LNJ M BWR C>WN M VJV H JWN,,M BWR C>WN M VJV H JWN,MN BWR/ C>WN=/ MN VJV/ H JWN/,,0,prep + prep,,,det,subs,complex,,,MN,MN,,,,,,
317052,PNH[,MT,Psalms,40,5,PNH,>CRJ H GBR >CR FM JHWH MBVXW W L> PNH >L RHBJM W FVJ KZB,,qal,perf,W L> PNH >L RHBJM W FVJ KZB,,>L RHBJM W FVJ KZB,>L RHB/ W FWV[ KZB/,,0,prep,,,det,subs,complex,,,>L,,,,,,,
317092,BW>[,MT,Psalms,40,8,B>TJ,>Z >MRTJ HNH B>TJ B MGLT SPR KTWB <LJ,,qal,perf,HNH B>TJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
317177,XWC[,MT,Psalms,40,14,XWCH,RYH JHWH L HYJLNJ JHWH L <ZRTJ XWCH,,qal,impv,L <ZRTJ XWCH,,L <ZRTJ,L <ZRH/,,0,prep,,,det,subs,simple,,,L,,,,,,,
317288,BW>[,MT,Psalms,41,7,B>,W >M B> L R>WT CW> JDBR LBW JQBY >WN LW JY> L XWY JDBR,,qal,perf,W >M B>,,no complement,no complement,,,,,,,,,,,,,,,,,,
317297,JY>[,MT,Psalms,41,7,JY>,W >M B> L R>WT CW> JDBR LBW JQBY >WN LW JY> L XWY JDBR,,qal,impf,JY> L XWY,,L XWY,L H XWY/,,0,prep,,,det,subs,simple,,,L,,,,,,,
317405,BW>[,MT,Psalms,42,3,>BW>,YM>H NPCJ L >LHJM L >L XJ MTJ >BW> W >R>H PNJ >LHJM,,qal,impf,MTJ >BW>,,no complement,no complement,,,,,,,,,,,,,,,,,,
317432,<BR[,MT,Psalms,42,5,><BR,>LH >ZKRH W >CPKH <LJ NPCJ KJ ><BR B SK >DDM <D BJT >LHJM B QWL RNH W TWDH HMWN XWGG,,qal,impf,KJ ><BR B SK,,no complement,no complement,,,,,,,,,,,,,,,,,,
2054217,<BR[,4Q98d,Psalms,42,5,><BR,>LH >ZKRH W >CPKH <LJ NPCJ KJ ><BR B SK >DDM <D BJT >LHJM B QWL RNH W TWDH HMWN XWGG,000 11111 1 11111 111 1111 11 1111 1 11 1111 11 111 11111 1 111 000 0 0111 1111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,>LH [>ZKRH W >CPKH <LJ NPCJ KJ ><BR B SK >DDM <D BJT >LHJM B QWL] RNH W T[WDH HMWN XWGG]
317488,<BR[,MT,Psalms,42,8,<BRW,THWM >L THWM QWR> L QWL YNWRJK KL MCBRJK W GLJK <LJ <BRW,,qal,perf,KL MCBRJK W GLJK <LJ <BRW,KL MCBRJK W GLJK,<LJ,<L,,0,prep,,,det,,simple,,,<L,,,,,,,
317511,HLK[,MT,Psalms,42,10,>LK,>WMRH L >L SL<J LMH CKXTNJ LMH QDR >LK B LXY >WJB,,qal,impf,LMH QDR >LK B LXY >WJB,,no complement,no complement,,,,,,,,,,,,,,,,,,
317569,HLK[,MT,Psalms,43,2,>THLK,KJ >TH >LHJ M<WZJ LMH ZNXTNJ LMH QDR >THLK B LXY >WJB,,hit,impf,LMH QDR >THLK B LXY >WJB,,no complement,no complement,,,,,,,,,,,,,,,,,,
317579,BW>[,MT,Psalms,43,3,JBJ>WNJ,CLX >WRK W >MTK HMH JNXWNJ JBJ>WNJ >L HR QDCK W >L MCKNWTJK,,hif,impf,JBJ>WNJ >L HR QDCK W >L MCKNWTJK,,>L HR QDCK W >L MCKNWTJK,>L HR/ QDC/ W >L MCKN/,,0,prep + prep,,,det,subs,complex,,,>L,>L,,,,,,
2087980,BW>[,11Q8,Psalms,43,3,JBJ>WNJ,CLX >WRKH W >MTKH HMH JNXWNJ JBJ>WNJ >L HR QDCK W >L MCKNWTJK,111 11111 1 11111 111 111111 1111111 10 11 1111 1 11 11111111,hif,impf,None,None,,,,,,,,,,,,,,,,,,,,[CLX >WRKH W >MTKH HMH JNXWNJ JBJ>WNJ >]L [HR QDCK W >L MCKNWTJK]
317587,BW>[,MT,Psalms,43,4,>BW>H,W >BW>H >L MZBX >LHJM >L >L FMXT GJLJ W >WDK B KNWR >LHJM >LHJ,,qal,impf,W >BW>H >L MZBX >LHJM,,>L MZBX >LHJM,>L MZBX/ >LHJM/,,0,prep,,,det,subs,complex,,,>L,,,,,,,
317717,JY>[,MT,Psalms,44,10,TY>,>P ZNXT W TKLJMNW W L> TY> B YB>WTJNW,,qal,impf,W L> TY> B YB>WTJNW,,B YB>WTJNW,B YB>/,,0,prep,,,det,subs,simple,,,B,,,,,,,
317786,BW>[,MT,Psalms,44,18,B>TNW,KL Z>T B>TNW W L> CKXNWK W L> CQRNW B BRJTK,,qal,perf,KL Z>T B>TNW,KL Z>T,no complement,no complement,,,,,,,,,,,,,,,,,,
317942,NPL[,MT,Psalms,45,6,JPLW,XYJK CNWNJM <MJM TXTJK JPLW B LB >WJBJ H MLK,,qal,impf,<MJM TXTJK JPLW,<MJM,TXTJK,TXT/,,0,vc,,,det,subs,simple,,,,,,,,,,
