verb_id,book,chapter,verse_num,clause,cl_type,prec_cl,pr_cl_type,next_cl,n_cl_type
224899,Isaiah,37,33,לֹ֤א יָבֹוא֙ אֶל־הָעִ֣יר הַזֹּ֔את ,xYq0,כֹּֽה־אָמַ֤ר יְהוָה֙ אֶל־מֶ֣לֶךְ אַשּׁ֔וּר ,xQtX,וְלֹֽא־יֹורֶ֥ה שָׁ֖ם חֵ֑ץ ,WxY0
224923,Isaiah,37,34,אֲשֶׁר־בָּ֖א בָּ֣הּ ,xQt0,בַּדֶּ֥רֶךְ יָשׁ֑וּב ,xYq0,וְאֶל־הָעִ֥יר הַזֹּ֛את לֹ֥א יָבֹ֖וא ,WxY0
224925,Isaiah,37,34,בַּדֶּ֥רֶךְ יָשׁ֑וּב ,xYq0,,,אֲשֶׁר־בָּ֖א בָּ֣הּ ,xQt0
224933,Isaiah,37,34,וְאֶל־הָעִ֥יר הַזֹּ֛את לֹ֥א יָבֹ֖וא ,WxY0,אֲשֶׁר־בָּ֖א בָּ֣הּ ,xQt0,נְאֻם־יְהוָֽה׃ ,MSyn
224951,Isaiah,37,36,וַיֵּצֵ֣א׀ מַלְאַ֣ךְ יְהוָ֗ה ,WayX,,,וַיַּכֶּה֙ בְּמַחֲנֵ֣ה אַשּׁ֔וּר מֵאָ֛ה וּשְׁמֹנִ֥ים וַחֲמִשָּׁ֖ה אָ֑לֶף ,Way0
224978,Isaiah,37,37,וַיֵּ֔לֶךְ ,Way0,וַיִּסַּ֣ע ,Way0,וַיָּ֖שָׁב סַנְחֵרִ֣יב מֶֽלֶךְ־אַשּׁ֑וּר ,WayX
224980,Isaiah,37,37,וַיָּ֖שָׁב סַנְחֵרִ֣יב מֶֽלֶךְ־אַשּׁ֑וּר ,WayX,וַיֵּ֔לֶךְ ,Way0,וַיֵּ֖שֶׁב בְּנִֽינְוֵֽה׃ ,Way0
225024,Isaiah,38,1,וַיָּבֹ֣וא אֵ֠לָיו יְשַׁעְיָ֨הוּ בֶן־אָמֹ֜וץ הַנָּבִ֗יא ,WayX,לָמ֑וּת ,InfC,וַיֹּ֨אמֶר אֵלָ֜יו ,Way0
225065,Isaiah,38,3,אֵ֣ת אֲשֶׁ֧ר הִתְהַלַּ֣כְתִּי לְפָנֶ֗יךָ בֶּֽאֱמֶת֙ וּבְלֵ֣ב שָׁלֵ֔ם ,xQt0,זְכָר־נָ֞א ,ZIm0,וְהַטֹּ֥וב בְּעֵינֶ֖יךָ עָשִׂ֑יתִי ,WxQ0
225093,Isaiah,38,5,הָלֹ֞וךְ ,InfA,,,וְאָמַרְתָּ֣ אֶל־חִזְקִיָּ֗הוּ ,WQt0
225155,Isaiah,38,8,הִנְנִ֣י מֵשִׁ֣יב אֶת־צֵ֣ל הַֽמַּעֲלֹ֡ות אֲחֹרַנִּ֖ית עֶ֣שֶׂר מַעֲלֹ֑ות ,Ptcp,,,אֲשֶׁ֣ר יָרְדָה֩ בְמַעֲלֹ֨ות אָחָ֥ז בַּשֶּׁ֛מֶשׁ ,xQt0
225161,Isaiah,38,8,אֲשֶׁ֣ר יָרְדָה֩ בְמַעֲלֹ֨ות אָחָ֥ז בַּשֶּׁ֛מֶשׁ ,xQt0,הִנְנִ֣י מֵשִׁ֣יב אֶת־צֵ֣ל הַֽמַּעֲלֹ֡ות אֲחֹרַנִּ֖ית עֶ֣שֶׂר מַעֲלֹ֑ות ,Ptcp,וַתָּ֤שָׁב הַשֶּׁ֨מֶשׁ֙ עֶ֣שֶׂר מַעֲלֹ֔ות בַּֽמַּעֲלֹ֖ות ,WayX
225172,Isaiah,38,8,וַתָּ֤שָׁב הַשֶּׁ֨מֶשׁ֙ עֶ֣שֶׂר מַעֲלֹ֔ות בַּֽמַּעֲלֹ֖ות ,WayX,אֲשֶׁ֣ר יָרְדָה֩ בְמַעֲלֹ֨ות אָחָ֥ז בַּשֶּׁ֛מֶשׁ ,xQt0,אֲשֶׁ֥ר יָרָֽדָה׃ ס ,xQt0
225181,Isaiah,38,8,אֲשֶׁ֥ר יָרָֽדָה׃ ס ,xQt0,וַתָּ֤שָׁב הַשֶּׁ֨מֶשׁ֙ עֶ֣שֶׂר מַעֲלֹ֔ות בַּֽמַּעֲלֹ֖ות ,WayX,,
225198,Isaiah,38,10,בִּדְמִ֥י יָמַ֛י אֵלֵ֖כָה בְּשַׁעֲרֵ֣י שְׁאֹ֑ול ,xYq0,אֲנִ֣י אָמַ֗רְתִּי ,XQtl,פֻּקַּ֖דְתִּי יֶ֥תֶר שְׁנֹותָֽי׃ ,ZQt0
225224,Isaiah,38,12,וְנִגְלָ֛ה מִנִּ֖י כְּאֹ֣הֶל רֹעִ֑י ,WQt0,דֹּורִ֗י נִסַּ֧ע ,XQtl,קִפַּ֨דְתִּי כָאֹרֵ֤ג חַיַּי֙ ,ZQt0
225316,Isaiah,38,17,כִּ֥י הִשְׁלַ֛כְתָּ אַחֲרֵ֥י גֵוְךָ֖ כָּל־חֲטָאָֽי׃ ,xQt0,וְאַתָּ֞ה חָשַׁ֤קְתָּ נַפְשִׁי֙ מִשַּׁ֣חַת בְּלִ֔י ,WXQt,,
225329,Isaiah,38,18,לֹֽא־יְשַׂבְּר֥וּ יֹֽורְדֵי־בֹ֖ור אֶל־אֲמִתֶּֽךָ׃ ,xYqX,מָ֣וֶת יְהַלְלֶ֑ךָּ ,XYqt,,
225377,Isaiah,38,22,כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ,xYq0,מָ֣ה אֹ֑ות ,NmCl,,
225385,Isaiah,39,1,בָּעֵ֣ת הַהִ֡וא שָׁלַ֡ח מְרֹדַ֣ךְ ֠בַּלְאֲדָן בֶּֽן־בַּלְאֲדָ֧ן מֶֽלֶךְ־בָּבֶ֛ל סְפָרִ֥ים וּמִנְחָ֖ה אֶל־חִזְקִיָּ֑הוּ ,xQtX,,,וַיִּשְׁמַ֕ע ,Way0
225454,Isaiah,39,3,וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ,WayX,,,וַיֹּ֨אמֶר אֵלָ֜יו ,Way0
225474,Isaiah,39,3,וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ ,WxY0,מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה ,xQtX,וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ ,WayX
225482,Isaiah,39,3,מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ,xQt0,וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ ,WayX,,
