verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
217275,<WP[,MT,Isaiah,14,29,M<WPP,מְעֹופֵֽף׃ ,>L TFMXJ PLCT KLK KJ NCBR CBV MKK KJ M CRC NXC JY> YP< W PRJW FRP M<WPP,piel,ptca,PRJW,פִרְיֹ֖ו ,[],
1900292,<WP[,1Qisaa,Isaiah,14,29,M<WPP,מעופפ ,>L TFMXJ PLCT KWLK KJ NCBR CBV MKKH KJ M CWRC NXC JY> YP< W PRJW FRP M<WPP,polel,ptca,,,[],
217270,JY>[,MT,Isaiah,14,29,JY>,יֵ֣צֵא ,>L TFMXJ PLCT KLK KJ NCBR CBV MKK KJ M CRC NXC JY> YP< W PRJW FRP M<WPP,qal,impf,YP<,צֶ֔פַע ,M CRC NXC,מִשֹּׁ֤רֶשׁ נָחָשׁ֙ 
1900287,JY>[,1Qisaa,Isaiah,14,29,JY>,יצא ,>L TFMXJ PLCT KWLK KJ NCBR CBV MKKH KJ M CWRC NXC JY> YP< W PRJW FRP M<WPP,qal,impf,,,[],
216885,NWX[,MT,Isaiah,14,3,HNJX,הָנִ֤יחַ ,W HJH B JWM HNJX JHWH LK M <YBK W M RGZK W MN H <BDH H QCH >CR <BD BK,hif,infc,JHWH,יְהוָה֙ ,LK,לְךָ֔ 
1899876,NWX[,1Qisaa,Isaiah,14,3,HNJX,הניח ,W HJH B JWM HNJX JHWH LK M <YBK W M RWGZK W MN H <BWDH H QCH >CR <BDW BKH,hifil,infc,,,[],
217305,BW>[,MT,Isaiah,14,31,B>,בָּ֔א ,HJLJLJ C<R Z<QJ <JR NMWG PLCT KLK KJ M YPWN <CN B> W >JN BWDD B MW<DJW,qal,perf,<CN,עָשָׁ֣ן ,M YPWN,מִצָּפֹון֙ 
1900323,BW>[,1Qisaa,Isaiah,14,31,B>,בא ,HJLJLJ C<R Z<QJ <JR NMWG PLCT KWLK KJ M YPWN <CN B> W >JN MWDD B MWD<JW,qal,ptca,,,[],
217322,XSH[,MT,Isaiah,14,32,JXSW,יֶחֱס֖וּ ,W MH J<NH ML>KJ GWJ KJ JHWH JSD YJWN W BH JXSW <NJJ <MW,qal,impf,<NJJ <MW,עֲנִיֵּ֥י עַמֹּֽו׃ ס ,[],
1900341,XSH[,1Qisaa,Isaiah,14,32,JXSW,יחסו ,W MH J<NW MLKJ GWJ KJ JHWH JSD YJWN W BW JXSW <NJJ <MW,qal,impf,,,[],
216939,NWX[,MT,Isaiah,14,7,NXH,נָ֥חָה ,NXH CQVH KL H >RY PYXW RNH,qal,perf,,,[],
1899934,NWX[,1Qisaa,Isaiah,14,7,NXH,נחה ,NXH CQVH KWL H >RY PYXW RWNH,qal,perf,,,[],
