verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
30545,CWB[,MT,Exodus,4,18,>CWBH,W JLK MCH W JCB >L JTR XTNW W J>MR LW >LKH N> W >CWBH >L >XJ >CR B MYRJM W >R>H H <WDM XJJM W J>MR JTRW L MCH LK L CLWM,W >CWBH >L >XJ,,>L >XJ,>L >X/,,0,prep,,,det,subs,complex,,,qal,impf,,,>L,,,,,,
30561,HLK[,MT,Exodus,4,18,LK,W JLK MCH W JCB >L JTR XTNW W J>MR LW >LKH N> W >CWBH >L >XJ >CR B MYRJM W >R>H H <WDM XJJM W J>MR JTRW L MCH LK L CLWM,LK L CLWM,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
30571,HLK[,MT,Exodus,4,19,LK,W J>MR JHWH >L MCH B MDJN LK CB MYRJM KJ MTW KL H >NCJM H MBQCJM >T NPCK,LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
30572,CWB[,MT,Exodus,4,19,CB,W J>MR JHWH >L MCH B MDJN LK CB MYRJM KJ MTW KL H >NCJM H MBQCJM >T NPCK,CB MYRJM,,MYRJM,MYRJM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,impv,,,,,,,,,
30597,CWB[,MT,Exodus,4,20,JCB,W JQX MCH >T >CTW W >T BNJW W JRKBM <L H XMR W JCB >RYH MYRJM W JQX MCH >T MVH H >LHJM B JDW,W JCB >RYH MYRJM,,>RYH MYRJM,>RY/ MYRJM/,,1,dir-he,topo,inanim,det,subs,complex,,,qal,wayq,,,,,,,,,
30615,HLK[,MT,Exodus,4,21,LKTK,W J>MR JHWH >L MCH B LKTK L CWB MYRJMH R>H KL H MPTJM >CR FMTJ B JDK W <FJTM L PNJ PR<H W >NJ >XZQ >T LBW W L> JCLX >T H <M,B LKTK,,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
30617,CWB[,MT,Exodus,4,21,CWB,W J>MR JHWH >L MCH B LKTK L CWB MYRJMH R>H KL H MPTJM >CR FMTJ B JDK W <FJTM L PNJ PR<H W >NJ >XZQ >T LBW W L> JCLX >T H <M,L CWB MYRJMH,,MYRJMH,MYRJM/,,1,dir-he,topo,inanim,det,nmpr,simple,,,qal,infc,,,,,,,,,
30720,HLK[,MT,Exodus,4,27,LK,W J>MR JHWH >L >HRN LK L QR>T MCH H MDBRH W JLK W JPGCHW B HR H >LHJM W JCQ LW,LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
30727,HLK[,MT,Exodus,4,27,JLK,W J>MR JHWH >L >HRN LK L QR>T MCH H MDBRH W JLK W JPGCHW B HR H >LHJM W JCQ LW,W JLK,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
30756,HLK[,MT,Exodus,4,29,JLK,W JLK MCH W >HRN W J>SPW >T KL ZQNJ BNJ JFR>L,W JLK MCH W >HRN,MCH W >HRN,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
30810,BW>[,MT,Exodus,5,1,B>W,W >XR B>W MCH W >HRN W J>MRW >L PR<H KH >MR JHWH >LHJ JFR>L CLX >T <MJ W JXGW LJ B MDBR,W >XR B>W MCH W >HRN,MCH W >HRN,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
30862,HLK[,MT,Exodus,5,3,NLKH,W J>MRW >LHJ H <BRJM NQR> <LJNW NLKH N> DRK CLCT JMJM B MDBR W NZBXH L JHWH >LHJNW PN JPG<NW B DBR >W B XRB,NLKH N> DRK CLCT JMJM B MDBR,,B MDBR,B H MDBR/,,0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,
30899,HLK[,MT,Exodus,5,4,LKW,W J>MR >LHM MLK MYRJM LMH MCH W >HRN TPRJ<W >T H <M M M<FJW LKW L SBLTJKM,LKW L SBLTJKM,,L SBLTJKM,L SBLWT/,,0,prep,,,det,subs,complex,,,qal,impv,,,L,,,,,,
30951,HLK[,MT,Exodus,5,7,JLKW,L> T>SPWN L TT TBN L <M L LBN H LBNJM K TMWL CLCM HM JLKW W QCCW LHM TBN,HM JLKW,HM,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
30980,HLK[,MT,Exodus,5,8,NLKH,W >T MTKNT H LBNJM >CR HM <FJM TMWL CLCM TFJMW <LJHM L> TGR<W MMNW KJ NRPJM HM <L KN HM Y<QJM L >MR NLKH NZBXH L >LHJNW,NLKH,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
31000,JY>[,MT,Exodus,5,10,JY>W,W JY>W NGFJ H <M W CVRJW W J>MRW >L H <M L >MR KH >MR PR<H >JNNJ NTN LKM TBN,W JY>W NGFJ H <M W CVRJW,NGFJ H <M W CVRJW,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
31021,HLK[,MT,Exodus,5,11,LKW,>TM LKW QXW LKM TBN M >CR TMY>W KJ >JN NGR< M <BDTKM DBR,>TM LKW,>TM,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
31093,BW>[,MT,Exodus,5,15,JB>W,W JB>W CVRJ BNJ JFR>L W JY<QW >L PR<H L >MR LMH T<FH KH L <BDJK,W JB>W CVRJ BNJ JFR>L,CVRJ BNJ JFR>L,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
31134,HLK[,MT,Exodus,5,17,NLKH,W J>MR NRPJM >TM NRPJM <L KN >TM >MRJM NLKH NZBXH L JHWH,NLKH,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
31140,HLK[,MT,Exodus,5,18,LKW,W <TH LKW <BDW W TBN L> JNTN LKM W TKN LBNJM TTNW,LKW,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
